1261	3	1551
73	5	1603
1027	1	1504
42	2	1537
1111	4	1557
510	6	1510
1420	0	1590
276	4	1561
121	0	1597
1388	6	1509
791	6	1507
978	2	1512
349	3	1551
412	6	1507
1304	4	1557
524	7	1547
1483	2	1526
1236	4	1555
672	6	1509
745	7	1548
1449	5	1603
145	4	1557
1032	4	1557
353	2	1533
1181	3	1554
326	7	1549
165	5	1603
1361	0	1582
525	7	1549
917	4	1557
628	0	1574
1249	3	1554
1087	3	1554
1122	6	1508
1000	3	1553
604	0	1573
580	1	1500
707	7	1547
922	7	1548
1140	7	1548
1173	3	1551
343	5	1605
1474	1	1502
397	1	1504
976	3	1554
1458	6	1509
643	0	1579
997	5	1605
670	3	1554
1226	0	1582
92	6	1507
1492	4	1555
1293	0	1582
1213	3	1551
514	0	1582
766	6	1509
1183	1	1500
795	1	1502
614	2	1541
167	6	1507
1096	7	1548
1299	2	1533
1223	2	1540
812	2	1513
636	7	1548
754	7	1549
283	0	1594
1465	0	1597
1280	2	1537
345	7	1548
1494	6	1507
16	5	1605
195	7	1548
191	5	1601
469	2	1535
868	7	1548
1441	0	1593
474	6	1511
837	3	1554
299	2	1537
16	7	1548
869	3	1554
608	3	1554
1386	1	1500
532	1	1500
93	3	1553
319	7	1548
1059	6	1507
1440	0	1582
688	1	1500
12	4	1561
1272	5	1603
774	5	1605
1223	3	1551
1405	4	1557
788	6	1507
30	5	1605
780	5	1603
734	5	1605
1406	2	1513
666	6	1509
462	2	1537
368	1	1504
147	5	1603
803	0	1582
1192	6	1511
142	5	1603
783	6	1509
806	7	1548
265	3	1553
1368	3	1551
1405	7	1548
1044	2	1522
213	1	1502
228	7	1548
1396	5	1603
747	6	1507
618	1	1504
237	4	1561
1276	5	1604
1434	1	1503
838	7	1548
959	7	1548
577	1	1504
364	6	1507
845	3	1552
1480	1	1500
682	2	1543
921	1	1500
1437	2	1537
1467	4	1559
910	1	1503
451	7	1549
1110	7	1547
985	3	1551
1487	0	1577
631	6	1509
420	1	1504
1061	7	1548
1188	5	1603
1349	2	1514
820	1	1504
1156	2	1527
1170	6	1507
481	6	1507
836	1	1504
1335	6	1507
1122	2	1537
1245	5	1606
1278	7	1548
284	3	1553
19	4	1556
149	3	1554
1279	4	1557
1104	5	1603
447	3	1554
145	2	1537
634	6	1511
1022	4	1561
717	4	1559
275	3	1553
392	4	1557
157	7	1548
383	5	1603
882	3	1553
431	2	1543
957	1	1503
1055	3	1551
680	1	1502
369	2	1537
517	7	1547
844	6	1509
1198	5	1603
321	3	1551
708	6	1507
1156	5	1603
1423	0	1565
522	4	1561
761	6	1507
765	1	1500
156	4	1559
479	6	1511
932	6	1509
1129	1	1503
56	1	1502
546	1	1500
164	3	1553
716	5	1604
1307	0	1582
1071	2	1531
856	6	1507
1022	0	1582
107	5	1603
1225	6	1508
590	2	1514
805	1	1504
1443	1	1502
985	5	1603
1018	5	1606
1455	3	1553
302	7	1547
835	6	1507
76	0	1597
1178	6	1507
916	7	1546
763	7	1548
1332	7	1547
710	3	1553
563	7	1548
600	4	1557
1437	1	1503
1461	2	1521
1470	4	1558
1368	6	1507
1095	3	1551
917	5	1603
878	3	1554
1364	4	1561
894	7	1548
59	6	1507
1417	2	1526
1114	4	1557
1156	3	1551
954	2	1525
190	2	1522
785	4	1557
485	7	1546
1344	5	1603
516	5	1607
1069	1	1500
1096	4	1557
776	6	1507
1469	3	1554
441	2	1523
1394	5	1603
87	6	1507
675	3	1554
1042	7	1546
312	4	1561
719	7	1548
202	7	1548
655	2	1523
323	3	1550
1035	6	1509
1482	7	1547
158	6	1507
95	2	1513
434	2	1526
939	4	1557
1264	3	1551
432	7	1547
1087	6	1507
336	1	1504
1494	1	1504
168	3	1554
1153	4	1555
285	4	1559
382	7	1548
836	0	1593
754	6	1507
217	1	1501
45	5	1603
934	2	1537
1238	3	1551
185	0	1597
966	6	1507
70	4	1560
1322	5	1606
476	0	1582
1181	5	1606
15	6	1509
244	2	1524
945	7	1548
754	0	1596
937	0	1582
189	6	1508
7	0	1593
118	2	1537
349	2	1532
731	2	1513
1343	4	1555
21	0	1565
1170	3	1553
285	7	1548
195	2	1543
1257	0	1582
415	1	1500
721	2	1526
402	6	1505
1102	7	1548
340	7	1547
426	0	1587
1328	1	1504
49	2	1513
503	6	1509
1450	2	1531
941	6	1509
648	4	1556
26	5	1603
176	7	1549
717	5	1604
730	5	1605
1273	7	1546
1287	6	1509
753	1	1500
580	7	1548
771	7	1548
637	0	1567
325	3	1554
1315	0	1570
1017	4	1558
821	2	1537
558	5	1606
187	6	1507
290	4	1556
1493	4	1558
262	6	1507
1419	1	1502
1152	2	1521
1220	2	1520
326	5	1603
328	7	1547
227	0	1582
122	4	1558
215	4	1559
179	0	1582
41	2	1516
5	0	1582
6	3	1552
442	1	1504
1375	5	1603
979	6	1507
1354	4	1560
1040	4	1558
1444	3	1552
310	2	1537
28	0	1595
817	4	1559
644	4	1557
523	1	1504
1019	0	1573
359	4	1561
720	1	1504
704	2	1536
975	3	1551
197	6	1509
878	7	1549
1063	5	1603
23	1	1504
968	6	1507
327	1	1504
177	7	1546
394	3	1554
1038	1	1500
468	2	1537
503	1	1504
179	4	1557
621	0	1582
334	2	1518
371	0	1582
897	7	1548
846	1	1500
832	4	1558
1472	6	1507
316	3	1554
125	7	1548
147	1	1504
1416	3	1554
517	6	1509
309	6	1509
827	2	1543
26	7	1547
543	4	1560
359	5	1603
605	5	1603
698	0	1595
991	2	1525
694	5	1606
823	4	1557
235	3	1551
707	4	1557
